time	V(vin)	V(vout)
6.272565625149492e-003	9.899654e-003	9.566244e-003
6.292096875149492e-003	9.652227e-003	9.324752e-003
6.311628125149491e-003	9.259621e-003	8.942764e-003
6.331159375149491e-003	8.727740e-003	8.426035e-003
6.350690625149490e-003	8.064588e-003	7.782341e-003
6.370221875149490e-003	7.280136e-003	7.021374e-003
6.399518750149489e-003	5.902288e-003	5.685535e-003
6.428815625149489e-003	4.325008e-003	4.157149e-003
6.458112500149488e-003	2.601590e-003	2.487887e-003
6.469273214435202e-003	1.910074e-003	1.818287e-003
6.480433928720916e-003	1.217690e-003	1.147943e-003
6.491594643006630e-003	5.244382e-004	4.768549e-004
6.502755357292344e-003	-1.696815e-004	-1.949772e-004
6.513916071578058e-003	-8.646690e-004	-8.675535e-004
6.525076785863772e-003	-1.560524e-003	-1.540874e-003
6.536237500149486e-003	-2.257247e-003	-2.214938e-003
6.565534375149486e-003	-4.002271e-003	-3.902744e-003
6.594831250149485e-003	-5.612061e-003	-5.459083e-003
6.624128125149485e-003	-7.032225e-003	-6.831395e-003
6.643659375149484e-003	-7.849643e-003	-7.620846e-003
6.663190625149484e-003	-8.548995e-003	-8.295889e-003
6.682721875149483e-003	-9.119761e-003	-8.846379e-003
6.702253125149483e-003	-9.553358e-003	-9.264044e-003
6.721784375149482e-003	-9.843263e-003	-9.542609e-003
6.741315625149482e-003	-9.985116e-003	-9.677889e-003
6.760846875149482e-003	-9.976785e-003	-9.667851e-003
6.780378125149481e-003	-9.818393e-003	-9.512646e-003
6.799909375149481e-003	-9.512323e-003	-9.214606e-003
6.819440625149480e-003	-9.063180e-003	-8.778209e-003
6.838971875149480e-003	-8.477717e-003	-8.210011e-003
6.858503125149480e-003	-7.764741e-003	-7.518551e-003
6.887800000149479e-003	-6.480135e-003	-6.273441e-003
6.917096875149478e-003	-4.976572e-003	-4.816806e-003
6.946393750149478e-003	-3.304856e-003	-3.197832e-003
6.975690625149477e-003	-1.521471e-003	-1.471198e-003
6.986851339435191e-003	-8.166451e-004	-7.889198e-004
6.998012053720905e-003	-1.163450e-004	-1.110838e-004
7.009172768006619e-003	5.794294e-004	5.623102e-004
7.020333482292333e-003	1.270678e-003	1.231262e-003
7.031494196578047e-003	1.957401e-003	1.895773e-003
7.042654910863761e-003	2.639598e-003	2.555841e-003
7.053815625149475e-003	3.317269e-003	3.211468e-003
7.083112500149475e-003	4.987979e-003	4.827498e-003
7.112409375149474e-003	6.490150e-003	6.279993e-003
7.141706250149474e-003	7.773024e-003	7.519844e-003
7.161237500149473e-003	8.484687e-003	8.207233e-003
7.180768750149473e-003	9.068731e-003	8.770954e-003
7.200300000149472e-003	9.516373e-003	9.202519e-003
7.219831250149472e-003	9.820880e-003	9.495433e-003
7.239362500149471e-003	9.977672e-003	9.645285e-003
7.258893750149471e-003	9.984391e-003	9.649818e-003
7.278425000149471e-003	9.840935e-003	9.508964e-003
7.297956250149470e-003	9.549461e-003	9.224843e-003
7.317487500149470e-003	9.114356e-003	8.801736e-003
7.337018750149469e-003	8.542161e-003	8.246010e-003
7.356550000149469e-003	7.841486e-003	7.566033e-003
7.385846875149468e-003	6.573111e-003	6.335964e-003
7.415143750149468e-003	5.082638e-003	4.891360e-003
7.444440625149467e-003	3.420427e-003	3.281065e-003
7.473737500149466e-003	1.642643e-003	1.559513e-003
7.484898214435181e-003	9.388741e-004	8.781884e-004
7.496058928720894e-003	2.390329e-004	2.007610e-004
7.507219643006609e-003	-4.568802e-004	-4.727692e-004
7.518380357292322e-003	-1.148865e-003	-1.142402e-003
7.529541071578037e-003	-1.836922e-003	-1.808138e-003
7.540701785863750e-003	-2.521052e-003	-2.469977e-003
