vce	V(vout)	I(Ib)	Ic(Q1)
Step Information: Ib=0  (Run: 1/6)
1.400000000000000e-001	1.400000e-001	2.000000e-006	1.357371e-004
1.500000000000000e-001	1.500000e-001	2.000000e-006	1.532140e-004
1.600000000000000e-001	1.600000e-001	2.000000e-006	1.679610e-004
1.700000000000000e-001	1.700000e-001	2.000000e-006	1.797596e-004
1.800000000000000e-001	1.800000e-001	2.000000e-006	1.888007e-004
1.900000000000000e-001	1.900000e-001	2.000000e-006	1.955015e-004
2.000000000000000e-001	2.000000e-001	2.000000e-006	2.003461e-004
2.100000000000001e-001	2.100000e-001	2.000000e-006	2.037872e-004
2.200000000000001e-001	2.200000e-001	2.000000e-006	2.062017e-004
2.300000000000001e-001	2.300000e-001	2.000000e-006	2.078823e-004
2.400000000000001e-001	2.400000e-001	2.000000e-006	2.090469e-004
2.500000000000001e-001	2.500000e-001	2.000000e-006	2.098524e-004
2.600000000000001e-001	2.600000e-001	2.000000e-006	2.104100e-004
2.700000000000001e-001	2.700000e-001	2.000000e-006	2.107974e-004
2.800000000000001e-001	2.800000e-001	2.000000e-006	2.110681e-004
2.900000000000001e-001	2.900000e-001	2.000000e-006	2.112592e-004
3.000000000000001e-001	3.000000e-001	2.000000e-006	2.113961e-004
3.100000000000001e-001	3.100000e-001	2.000000e-006	2.114960e-004
3.200000000000001e-001	3.200000e-001	2.000000e-006	2.115708e-004
3.300000000000001e-001	3.300000e-001	2.000000e-006	2.116285e-004
3.400000000000001e-001	3.400000e-001	2.000000e-006	2.116745e-004
3.500000000000001e-001	3.500000e-001	2.000000e-006	2.117126e-004
3.600000000000002e-001	3.600000e-001	2.000000e-006	2.117454e-004
3.700000000000002e-001	3.700000e-001	2.000000e-006	2.117745e-004
3.800000000000002e-001	3.800000e-001	2.000000e-006	2.118011e-004
3.900000000000002e-001	3.900000e-001	2.000000e-006	2.118260e-004
4.000000000000002e-001	4.000000e-001	2.000000e-006	2.118498e-004
4.100000000000002e-001	4.100000e-001	2.000000e-006	2.118728e-004
4.200000000000002e-001	4.200000e-001	2.000000e-006	2.118953e-004
4.300000000000002e-001	4.300000e-001	2.000000e-006	2.119174e-004
4.400000000000002e-001	4.400000e-001	2.000000e-006	2.119393e-004
4.500000000000002e-001	4.500000e-001	2.000000e-006	2.119610e-004
4.600000000000002e-001	4.600000e-001	2.000000e-006	2.119826e-004
4.700000000000003e-001	4.700000e-001	2.000000e-006	2.120041e-004
4.800000000000003e-001	4.800000e-001	2.000000e-006	2.120256e-004
4.900000000000003e-001	4.900000e-001	2.000000e-006	2.120470e-004
5.000000000000002e-001	5.000000e-001	2.000000e-006	2.120684e-004
5.100000000000002e-001	5.100000e-001	2.000000e-006	2.120898e-004
5.200000000000002e-001	5.200000e-001	2.000000e-006	2.121112e-004
5.300000000000003e-001	5.300000e-001	2.000000e-006	2.121325e-004
5.400000000000003e-001	5.400000e-001	2.000000e-006	2.121539e-004
5.500000000000003e-001	5.500000e-001	2.000000e-006	2.121753e-004
5.600000000000003e-001	5.600000e-001	2.000000e-006	2.121966e-004
5.700000000000003e-001	5.700000e-001	2.000000e-006	2.122180e-004
5.800000000000003e-001	5.800000e-001	2.000000e-006	2.122393e-004
5.900000000000003e-001	5.900000e-001	2.000000e-006	2.122607e-004
6.000000000000003e-001	6.000000e-001	2.000000e-006	2.122820e-004
6.100000000000003e-001	6.100000e-001	2.000000e-006	2.123034e-004
6.200000000000003e-001	6.200000e-001	2.000000e-006	2.123248e-004
6.300000000000003e-001	6.300000e-001	2.000000e-006	2.123461e-004
6.400000000000004e-001	6.400000e-001	2.000000e-006	2.123675e-004
6.500000000000004e-001	6.500000e-001	2.000000e-006	2.123888e-004
6.600000000000004e-001	6.600000e-001	2.000000e-006	2.124102e-004
6.700000000000004e-001	6.700000e-001	2.000000e-006	2.124315e-004
6.800000000000004e-001	6.800000e-001	2.000000e-006	2.124529e-004
6.900000000000004e-001	6.900000e-001	2.000000e-006	2.124743e-004
7.000000000000004e-001	7.000000e-001	2.000000e-006	2.124956e-004
7.100000000000004e-001	7.100000e-001	2.000000e-006	2.125170e-004
7.200000000000004e-001	7.200000e-001	2.000000e-006	2.125383e-004
7.300000000000004e-001	7.300000e-001	2.000000e-006	2.125597e-004
7.400000000000004e-001	7.400000e-001	2.000000e-006	2.125810e-004
7.500000000000004e-001	7.500000e-001	2.000000e-006	2.126024e-004
7.600000000000005e-001	7.600000e-001	2.000000e-006	2.126238e-004
7.700000000000005e-001	7.700000e-001	2.000000e-006	2.126451e-004
7.800000000000005e-001	7.800000e-001	2.000000e-006	2.126665e-004
7.900000000000005e-001	7.900000e-001	2.000000e-006	2.126878e-004
8.000000000000005e-001	8.000000e-001	2.000000e-006	2.127092e-004
8.100000000000005e-001	8.100000e-001	2.000000e-006	2.127305e-004
8.200000000000005e-001	8.200000e-001	2.000000e-006	2.127519e-004
8.300000000000005e-001	8.300000e-001	2.000000e-006	2.127732e-004
8.400000000000005e-001	8.400000e-001	2.000000e-006	2.127946e-004
